Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
824_As-built-final,8240MSF01,"MF01 - Provide Site Acces Road within Works Areas 3.5 & 3.5A from Kong Tai Road to Tai Kong Po Area",TT_FinMile,,"Milestones Cost Centre F - Tai Kong Po Plant Building (TKP)",15-Jan-2011,15-Jan-2011,0,26-Dec-2010,26-Dec-2010,,-20,,,,,,,1,0
824_As-built-final,8240MSF02,"MF02 - Complete 100% of Pipe Pile Wall for 2nd Access Shaft",TT_FinMile,,"Milestones Cost Centre F - Tai Kong Po Plant Building (TKP)",20-Apr-2011,20-Apr-2011,0,30-Apr-2011,30-Apr-2011,,10,,,,,,,1,0
824_As-built-final,8240MSF03,"MF03 - Complete Soft Excavation to 2nd Access Shaft",TT_FinMile,,"Milestones Cost Centre F - Tai Kong Po Plant Building (TKP)",25-Jun-2011,25-Jun-2011,0,07-Oct-2011,07-Oct-2011,,104,,,,,,,1,0
824_As-built-final,8240MSF04,"MF04 - Commence The Main Tunnel Excavation",TT_FinMile,,"Milestones Cost Centre F - Tai Kong Po Plant Building (TKP)",29-Dec-2011,29-Dec-2011,0,26-Nov-2011,26-Nov-2011,,-33,,,,,,,1,0
824_As-built-final,8240MSF05,"MF05 - Complete 50% of the Substructure of the Tai Kong Po Plant Building",TT_FinMile,,"Milestones Cost Centre F - Tai Kong Po Plant Building (TKP)",22-Aug-2015,22-Aug-2015,0,22-Aug-2015,22-Aug-2015,,0,,,,,,,1,0
824_As-built-final,8240MSF06,"MF06 - Complete the Superstructure of the Tai Kong Po Plant Building",TT_FinMile,,"Milestones Cost Centre F - Tai Kong Po Plant Building (TKP)",31-May-2016,31-May-2016,0,31-May-2016,31-May-2016,,0,,,,,,,1,0
824_As-built-final,8240MSF07,"MF07 - Complete All Works in LV Switch Room Including Installation of Permanent Doors",TT_FinMile,,"Milestones Cost Centre F - Tai Kong Po Plant Building (TKP)",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2016,10-May-2016,1,0
824_As-built-final,8240MSF08,"MF08 - All Permanent Door Installed",TT_FinMile,,"Milestones Cost Centre F - Tai Kong Po Plant Building (TKP)",27-Apr-2017,27-Apr-2017,0,,,,0,,,27-Apr-2017,27-Apr-2017,01-Jun-2014,01-Jun-2014,1,0
824_As-built-final,8240MSF09,"MF09 - Complete All Works necessary for Statutory Inspection Including EVA",TT_FinMile,,"Milestones Cost Centre F - Tai Kong Po Plant Building (TKP)",01-Apr-2017,01-Apr-2017,0,,,,0,,,01-Apr-2017,01-Apr-2017,10-May-2016,10-May-2016,1,0
824_As-built-final,8240MSC01,"MC01 - Complete 5% of Excavation and Temporary Support of the Tunnel Drive",TT_FinMile,,"Milestones Cost Centre C - Ngau Tam Mei To Tai Kong Po Tunnel (S/B)",26-Sep-2012,26-Sep-2012,0,31-Aug-2012,31-Aug-2012,,-26,,,,,,,1,1
824_As-built-final,8240MSC02,"MC02 - Complete 35% of Excavation and Temporary Support of the Tunnel Drive",TT_FinMile,,"Milestones Cost Centre C - Ngau Tam Mei To Tai Kong Po Tunnel (S/B)",07-May-2013,07-May-2013,0,25-Apr-2013,25-Apr-2013,,-12,,,,,,,1,1
824_As-built-final,8240MSC03,"MC03 - Complete 60% of Excavation and Temporary Support of the Tunnel Drive",TT_FinMile,,"Milestones Cost Centre C - Ngau Tam Mei To Tai Kong Po Tunnel (S/B)",25-Jan-2014,25-Jan-2014,0,25-Jan-2014,25-Jan-2014,,0,,,,,,,1,1
824_As-built-final,8240MSC04,"MC04 - Complete 100% of Excavation anf Temporary Support of the Tunnel Drive",TT_FinMile,,"Milestones Cost Centre C - Ngau Tam Mei To Tai Kong Po Tunnel (S/B)",30-Jun-2015,30-Jun-2015,0,30-Jun-2015,30-Jun-2015,,0,,,,,,,3,1
824_As-built-final,8240MSC05,"MC05 - Complete 100% of Tunnel Lining",TT_FinMile,,"Milestones Cost Centre C - Ngau Tam Mei To Tai Kong Po Tunnel (S/B)",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2016,10-May-2016,2,1
824_As-built-final,8240MSC06,"MC06 - Complete 100% of Partition Walls and Dividing Slabs",TT_FinMile,,"Milestones Cost Centre C - Ngau Tam Mei To Tai Kong Po Tunnel (S/B)",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2016,10-May-2016,2,0
824_As-built-final,8240KD03B,"3B - Complete the Tai Kong Po Shaft&the EVA including widening of Kong Tai Rd & Chi Ho Rd for TBM Retrieval by C823A",TT_FinMile,,"Reference 3B",26-May-2012,26-May-2012,0,30-Apr-2012,30-Apr-2012,,-26,,,,,,,9,0
824_As-built-final,8240KD04CA,"4C - Degree of Completion 1 All Rooms & Common Areas Within Ngau Tam Mei Ventilation Building",TT_FinMile,,"Reference 4C",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,29-Sep-2013,29-Sep-2013,0,0
824_As-built-final,8240KD04CB,"4C - Degree of Completion 2 All Rooms & Common Areas Within Ngau Tam Mei Ventilation Building",TT_FinMile,,"Reference 4C",03-Feb-2017,03-Feb-2017,0,,,,0,,,03-Feb-2017,03-Feb-2017,29-Dec-2013,29-Dec-2013,1,0
824_As-built-final,8240KD04CC,"4C - Degree of Completion 3 All Rooms & Common Areas Within Ngau Tam Mei Ventilation Building",TT_FinMile,,"Reference 4C",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,02-Mar-2014,02-Mar-2014,2,0
824_As-built-final,8240KD03A,"3A - Complete the Ngau Tam Mei Shaft and All Requirements as in Appendix Y1 of P.S. for TBM Retrieval by C825",TT_FinMile,,"Reference 3A",31-Oct-2012,31-Oct-2012,0,29-Sep-2012,29-Sep-2012,,-32,,,,,,,1,0
824_As-built-final,8240KD04A,"4A -Tunnel From the Northern Contract Limit to the Southern Contract Limit, both Up&Down Tracks (Degree of Completion 1)",TT_FinMile,,"Reference 4A",01-Jun-2016,01-Jun-2016,0,31-May-2016,31-May-2016,,-1,,,,,,,9,0
824_As-built-final,8240PD1000,"Permanent LV Power on (NTV)",TT_FinMile,,"Others",31-May-2016,31-May-2016,0,31-May-2016,31-May-2016,,0,,,,,,,0,0
824_As-built-final,8240PD1010,"Overhead Lines Power on (By Designated Contract 830)",TT_FinMile,,"Others",31-May-2016,31-May-2016,0,31-May-2016,31-May-2016,,0,,,,,,,0,0
824_As-built-final,8240PD1020,"Complete all External Water Works Within Ngau Tam Mei V.B.Site&Tai Kong Po Site & Connect to Gov.Watermains",TT_FinMile,,"Others",10-Jun-2017,10-Jun-2017,0,,,,0,,,10-Jun-2017,10-Jun-2017,10-May-2016,10-May-2016,3,0
824_As-built-final,8240PD1030,"Complete all External Telephone Drawpits & Ducts within Ngau Tam Mei V.B.Site & Tai Kong Po Site(TKP)",TT_FinMile,,"Others",26-Jun-2017,26-Jun-2017,0,,,,0,,,26-Jun-2017,26-Jun-2017,10-May-2016,10-May-2016,2,0
824_As-built-final,8240PD1040,"Complete the Ngau Tam Mei Shaft Including Stud Tunnels",TT_FinMile,,"Others",26-Jan-2013,26-Jan-2013,0,12-Dec-2012,12-Dec-2012,,-45,,,,,,,1,0
824_As-built-final,8240PD1050,"Contract 825 Break Through the N/B Tunnel",TT_FinMile,,"Others",30-Jun-2015,30-Jun-2015,0,30-Jun-2015,30-Jun-2015,,0,,,,,,,0,0
824_As-built-final,8240PD1060,"Complete the Tai Kong Po Shaft",TT_FinMile,,"Others",21-Apr-2012,21-Apr-2012,0,15-May-2012,15-May-2012,,24,,,,,,,0,0
824_As-built-final,8240PD1070,"Contract 823A Remove all Equip.,Plants, Material &Temporary Works after TBM Removal from the Tai Kong Po Shaft for S/B",TT_FinMile,,"Others",30-Jun-2015,30-Jun-2015,0,30-Jun-2015,30-Jun-2015,,0,,,,,,,0,0
824_As-built-final,8240PD1080,"Contract 823A Complete the Ends of the Bored Tunnel Structure with Associated Connections & Waterproofing",TT_FinMile,,"Others",31-May-2016,31-May-2016,0,25-Nov-2015,25-Nov-2015,,-188,,,,,,,0,0
824_As-built-final,8240PD1090,"Contract 822 Provide one Explosive Storage Room within Works Area 6.11",TT_Mile,,"Others",26-Feb-2011,26-Feb-2011,0,17-Jan-2011,17-Jan-2011,,-40,,,,,,,0,2
824_As-built-final,8240PD1100,"Return the Explosive Room to Contract 822",TT_FinMile,,"Others",30-Jun-2015,30-Jun-2015,0,30-Jun-2015,30-Jun-2015,,0,,,,,,,1,0
824_As-built-final,8240PD1110,"Complete Erection of Engineer's Office and provide Office Furniture and Equipment",TT_FinMile,,"Others",31-Dec-2010,31-Dec-2010,0,31-Dec-2010,31-Dec-2010,,0,,,,,,,0,0
824_As-built-final,8240PD1120,"Commencement of Test Running",TT_Mile,,"Others",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2016,10-May-2016,0,0
824_As-built-final,8240PD1130,"Commencement of Trial Running",TT_Mile,,"Others",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2016,10-May-2016,0,0
824_As-built-final,8240PD1140,"Complete Whole of the Works",TT_FinMile,,"Others",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,0,1
824_As-built-final,8240KD04BA,"4B - Degree of Completion 1 All Rooms & Common Areas Within Tai Kong Po Plant Building",TT_FinMile,,"Reference 4B",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,29-Sep-2013,29-Sep-2013,1,0
824_As-built-final,8240KD04BB,"4B - Degree of Completion 2 All Rooms & Common Areas Within Tai Kong Po Plant Building",TT_FinMile,,"Reference 4B",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,29-Dec-2013,29-Dec-2013,1,0
824_As-built-final,8240KD04BC,"4B - Degree of Completion 3 All Rooms & Common Areas Within Tai Kong Po Plant Building",TT_FinMile,,"Reference 4B",27-Aug-2017,27-Aug-2017,0,,,,0,,,27-Aug-2017,27-Aug-2017,02-Mar-2014,02-Mar-2014,2,0
824_As-built-final,8240AD50160,"Possession to Work Area 2.1D",TT_Task,,"Area 2.1D",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,1
824_As-built-final,8240AD50170,"Period of Access to Work Area 2.1D",TT_LOE,,"Area 2.1D",17-Aug-2010,10-May-2015,1727,17-Aug-2010,,,0,,,31-Jan-2017,31-Jan-2017,17-Aug-2010,10-May-2015,1,1
824_As-built-final,8240AD50180,"Return Date Work Area 2.1D",TT_FinMile,,"Area 2.1D",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,1
824_As-built-final,8240AD50220,"Possession to Work Area 2.1F",TT_Task,,"Area 2.1F",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,1
824_As-built-final,8240AD50230,"Period of Access to Work Area 2.1F",TT_LOE,,"Area 2.1F",17-Aug-2010,10-May-2015,1727,17-Aug-2010,,,0,,,31-Jan-2017,31-Jan-2017,17-Aug-2010,10-May-2015,1,1
824_As-built-final,8240AD50240,"Return Date Work Area 2.1F",TT_FinMile,,"Area 2.1F",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,1
824_As-built-final,8240AD50260,"Possession to Work Area 2.2",TT_Task,,"Area 2.2 (Subject to SLG Approval)",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,0,1
824_As-built-final,8240AD50270,"Period of Access to Work Area 2.2",TT_LOE,,"Area 2.2 (Subject to SLG Approval)",17-Aug-2010,10-May-2015,1727,17-Aug-2010,,,0,,,31-Jan-2017,31-Jan-2017,17-Aug-2010,10-May-2015,1,1
824_As-built-final,8240AD50280,"Return Date Work Area 2.2",TT_FinMile,,"Area 2.2 (Subject to SLG Approval)",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,0
824_As-built-final,8240AD50130,"Possession to Work Area 2.1C",TT_Task,,"Area 2.1C",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,1
824_As-built-final,8240AD50140,"Period of Access to Work Area 2.1C",TT_LOE,,"Area 2.1C",17-Aug-2010,10-May-2015,1727,17-Aug-2010,,,0,,,31-Jan-2017,31-Jan-2017,17-Aug-2010,10-May-2015,1,1
824_As-built-final,8240AD50150,"Return Date Work Area 2.1C",TT_FinMile,,"Area 2.1C",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,1
824_As-built-final,8240AD50010,"Possession to Work Area 2.1A (1st Stage)",TT_Task,,"Area 2.1A",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,2
824_As-built-final,8240AD50020,"Period of Access to Work Area 2.1A (1st Stage)",TT_LOE,,"Area 2.1A",17-Aug-2010,30-Jun-2013,1048,17-Aug-2010,,,0,,,31-Jan-2017,31-Jan-2017,17-Aug-2010,30-Jun-2013,1,1
824_As-built-final,8240AD50030,"Return Date Work Area 2.1A (1st Stage)",TT_FinMile,,"Area 2.1A",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,30-Jun-2013,30-Jun-2013,1,0
824_As-built-final,8240AD50040,"Re-Possession to Work Area 2.1A (2nd Stage)",TT_Mile,,"Area 2.1A",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,01-Sep-2014,01-Sep-2014,0,1
824_As-built-final,8240AD50050,"Period of Access to Work Area 2.1A (2nd Stage)",TT_LOE,,"Area 2.1A",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,01-Sep-2014,10-May-2015,1,1
824_As-built-final,8240AD50060,"Return Date Work Area 2.1A (2nd Stage)",TT_FinMile,,"Area 2.1A",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,1
824_As-built-final,8240AD50190,"Possession to Work Area 2.1E",TT_Task,,"Area 2.1E",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,1
824_As-built-final,8240AD50200,"Period of Access to Work Area 2.1E",TT_LOE,,"Area 2.1E",17-Aug-2010,10-May-2015,1727,17-Aug-2010,,,0,,,31-Jan-2017,31-Jan-2017,17-Aug-2010,10-May-2015,1,1
824_As-built-final,8240AD50210,"Return Date Work Area 2.1E",TT_FinMile,,"Area 2.1E",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,1
824_As-built-final,8240AD50070,"Possession to Work Area 2.1B (1st Stage)",TT_Task,,"Area 2.1B",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,1
824_As-built-final,8240AD50080,"Period of Access to Work Area 2.1B (1st Stage)",TT_LOE,,"Area 2.1B",17-Aug-2010,30-Jun-2013,1048,17-Aug-2010,,,0,,,31-Jan-2017,31-Jan-2017,17-Aug-2010,30-Jun-2013,1,1
824_As-built-final,8240AD50090,"Return Date Work Area 2.1B (1st Stage)",TT_FinMile,,"Area 2.1B",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,30-Jun-2013,30-Jun-2013,1,0
824_As-built-final,8240AD50100,"Re-Possession to Work Area 2.1B (2nd Stage)",TT_Mile,,"Area 2.1B",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,01-Sep-2014,01-Sep-2014,0,1
824_As-built-final,8240AD50110,"Period of Access to Work Area 2.1B (2nd Stage)",TT_LOE,,"Area 2.1B",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,01-Sep-2014,10-May-2015,1,1
824_As-built-final,8240AD50120,"Return Date Work Area 2.1B (2nd Stage)",TT_FinMile,,"Area 2.1B",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,1
824_As-built-final,8240AD70040,"Possession to Work Area 1.21B",TT_Task,,"Area 1.21B",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,1
824_As-built-final,8240AD70050,"Period of Access to Work Area 1.21B",TT_LOE,,"Area 1.21B",17-Aug-2010,10-May-2015,1727,17-Aug-2010,31-Aug-2015,1840,0,113,6.54,,,,,1,1
824_As-built-final,8240AD70060,"Return Date Work Area 1.21B",TT_FinMile,,"Area 1.21B",31-Aug-2015,31-Aug-2015,0,31-Aug-2015,31-Aug-2015,,0,,,,,,,1,1
824_As-built-final,8240AD70010,"Possession to Work Area 1.21A",TT_Task,,"Area 1.21A",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,1
824_As-built-final,8240AD70020,"Period of Access to Work Area 1.21A",TT_LOE,,"Area 1.21A",17-Aug-2010,10-May-2015,1727,17-Aug-2010,31-Aug-2015,1840,0,113,6.54,,,,,1,1
824_As-built-final,8240AD70030,"Return Date Work Area 1.21A",TT_FinMile,,"Area 1.21A",31-Aug-2015,31-Aug-2015,0,31-Aug-2015,31-Aug-2015,,0,,,,,,,1,1
824_As-built-final,8240AD70070,"Possession to Work Area 1.22",TT_Task,,"Area 1.22",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,1
824_As-built-final,8240AD70080,"Period of Access to Work Area 1.22",TT_LOE,,"Area 1.22",17-Aug-2010,10-May-2015,1727,17-Aug-2010,31-Aug-2015,1840,0,113,6.54,,,,,1,1
824_As-built-final,8240AD70090,"Return Date Work Area 1.22",TT_FinMile,,"Area 1.22",31-Aug-2015,31-Aug-2015,0,31-Aug-2015,31-Aug-2015,,0,,,,,,,1,1
824_As-built-final,8240AD60160,"Possession to Work Area 3.8D (1st Stage)",TT_Mile,,"Area 3.8D",15-Dec-2010,15-Dec-2010,0,15-Dec-2010,15-Dec-2010,,0,,,,,,,0,1
824_As-built-final,8240AD60170,"Period of Access to Work Area 3.8D (1st Stage)",TT_LOE,,"Area 3.8D",15-Dec-2010,30-Jun-2013,928,15-Dec-2010,31-Aug-2015,1720,0,792,85.34,,,,,1,1
824_As-built-final,8240AD60180,"Return Date Work Area 3.8D (1st Stage)",TT_FinMile,,"Area 3.8D",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,30-Jun-2013,30-Jun-2013,1,0
824_As-built-final,8240AD60190,"Re-Possession to Work Area 3.8D (2nd Stage)",TT_Mile,,"Area 3.8D",31-Aug-2015,31-Aug-2015,0,31-Aug-2015,31-Aug-2015,,0,,,,,,,0,1
824_As-built-final,8240AD60200,"Period of Access to Work Area 3.8D (2nd Stage)",TT_Task,,"Area 3.8D",31-Aug-2015,08-May-2016,251,31-Aug-2015,,,0,,,31-Jan-2017,09-Mar-2017,03-Apr-2015,10-May-2015,1,1
824_As-built-final,8240AD60210,"Return Date Work Area 3.8D (2nd Stage)",TT_FinMile,,"Area 3.8D",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,1
824_As-built-final,8240AD60220,"Possession to Work Area 3.8F",TT_Mile,,"Area 3.8F",15-Dec-2010,15-Dec-2010,0,15-Dec-2010,15-Dec-2010,,0,,,,,,,0,1
824_As-built-final,8240AD60230,"Period of Access to Work Area 3.8F",TT_LOE,,"Area 3.8F",15-Dec-2010,10-May-2015,1607,15-Dec-2010,,,0,,,31-Jan-2017,31-Jan-2017,15-Dec-2010,10-May-2015,1,1
824_As-built-final,8240AD60240,"Return Date Work Area 3.8F",TT_FinMile,,"Area 3.8F",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,1
824_As-built-final,8240AD60250,"Possession to Work Area 3.8E",TT_Mile,,"Area 3.8E",15-Dec-2010,15-Dec-2010,0,15-Dec-2010,15-Dec-2010,,0,,,,,,,0,1
824_As-built-final,8240AD60260,"Period of Access to Work Area 3.8E",TT_LOE,,"Area 3.8E",15-Dec-2010,10-May-2015,1607,15-Dec-2010,,,0,,,31-Jan-2017,31-Jan-2017,15-Dec-2010,10-May-2015,1,1
824_As-built-final,8240AD60270,"Return Date Work Area 3.8E- NB Return Date 10May16 - After Contract Completion",TT_FinMile,,"Area 3.8E",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,0
824_As-built-final,8240AD70270,"Possession to Work Area 3.5B",TT_Task,,"Area 3.5B",16-Aug-2010,17-Aug-2010,1,16-Aug-2010,17-Aug-2010,1,0,0,0.00,,,,,1,1
824_As-built-final,8240AD70280,"Period of Access to Work Area 3.5B",TT_LOE,,"Area 3.5B",17-Aug-2010,10-May-2015,1727,17-Aug-2010,,,0,,,31-Jan-2017,31-Jan-2017,17-Aug-2010,10-May-2015,1,1
824_As-built-final,8240AD70290,"Return Date Work Area 3.5B",TT_FinMile,,"Area 3.5B",31-Jan-2017,31-Jan-2017,0,,,,0,,,31-Jan-2017,31-Jan-2017,10-May-2015,10-May-2015,1,1
824_As-built-final,8240AD60010,"Possession to Work Area 3.8A",TT_Mile,,"Area 3.8A",15-Dec-2010,15-Dec-2010,0,15-Dec-2010,15-Dec-2010,,0,,,,,,,0,2
